t=,908062, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.023, mSel=,+0.026, b=,0.068, m=,0.029, ca=,0.0032, cr=,0.0471,  actvprof=,1.261804, best_B_id=,B04, best_B_prof=,1.261804, best_B_strat=, mBuy=,-0.023, mSel=,+0.026, b=,0.068, m=,0.029, ca=,0.0032, cr=,0.0471, 
t=,939374, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.041, b=,0.072, m=,0.060, ca=,0.0000, cr=,0.0471,  actvprof=,1.294540, best_B_id=,B04, best_B_prof=,1.294540, best_B_strat=, mBuy=,+0.000, mSel=,+0.041, b=,0.072, m=,0.060, ca=,0.0000, cr=,0.0471, 
t=,970686, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.002, mSel=,+0.002, b=,0.112, m=,0.051, ca=,0.0013, cr=,0.0440,  actvprof=,1.375486, best_B_id=,B04, best_B_prof=,1.375486, best_B_strat=, mBuy=,-0.002, mSel=,+0.002, b=,0.112, m=,0.051, ca=,0.0013, cr=,0.0440, 
t=,1001999, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.000, b=,0.115, m=,0.007, ca=,0.0000, cr=,0.0433,  actvprof=,1.408188, best_B_id=,B04, best_B_prof=,1.408188, best_B_strat=, mBuy=,+0.000, mSel=,+0.000, b=,0.115, m=,0.007, ca=,0.0000, cr=,0.0433, 
t=,1033311, id=,B04, ZIPSH,actvstrat=,mBuy=,+0.000, mSel=,+0.000, b=,0.115, m=,0.007, ca=,0.0000, cr=,0.0433,  actvprof=,1.468994, best_B_id=,B04, best_B_prof=,1.468994, best_B_strat=, mBuy=,+0.000, mSel=,+0.000, b=,0.115, m=,0.007, ca=,0.0000, cr=,0.0433, 
t=,1064623, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.027, mSel=,+0.033, b=,0.141, m=,0.014, ca=,0.0041, cr=,0.0436,  actvprof=,1.454455, best_B_id=,B04, best_B_prof=,1.454455, best_B_strat=, mBuy=,-0.027, mSel=,+0.033, b=,0.141, m=,0.014, ca=,0.0041, cr=,0.0436, 
t=,1095935, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.038, mSel=,+0.001, b=,0.144, m=,0.004, ca=,0.0061, cr=,0.0467,  actvprof=,1.478669, best_B_id=,B04, best_B_prof=,1.478669, best_B_strat=, mBuy=,-0.038, mSel=,+0.001, b=,0.144, m=,0.004, ca=,0.0061, cr=,0.0467, 
t=,1127248, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.055, mSel=,+0.004, b=,0.173, m=,0.000, ca=,0.0079, cr=,0.0488,  actvprof=,1.546326, best_B_id=,B04, best_B_prof=,1.546326, best_B_strat=, mBuy=,-0.055, mSel=,+0.004, b=,0.173, m=,0.000, ca=,0.0079, cr=,0.0488, 
t=,1158560, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.055, mSel=,+0.004, b=,0.173, m=,0.000, ca=,0.0079, cr=,0.0488,  actvprof=,1.529655, best_B_id=,B04, best_B_prof=,1.529655, best_B_strat=, mBuy=,-0.055, mSel=,+0.004, b=,0.173, m=,0.000, ca=,0.0079, cr=,0.0488, 
t=,1189872, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.055, mSel=,+0.004, b=,0.173, m=,0.000, ca=,0.0079, cr=,0.0488,  actvprof=,1.634680, best_B_id=,B04, best_B_prof=,1.634680, best_B_strat=, mBuy=,-0.055, mSel=,+0.004, b=,0.173, m=,0.000, ca=,0.0079, cr=,0.0488, 
