t=,1041115, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.092, mSel=,+0.027, b=,0.248, m=,0.000, ca=,0.0404, cr=,0.0630,  actvprof=,1.670755, best_B_id=,B04, best_B_prof=,1.670755, best_B_strat=, mBuy=,-0.092, mSel=,+0.027, b=,0.248, m=,0.000, ca=,0.0404, cr=,0.0630, 
t=,1077015, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.092, mSel=,+0.027, b=,0.248, m=,0.000, ca=,0.0404, cr=,0.0630,  actvprof=,1.645285, best_B_id=,B04, best_B_prof=,1.645285, best_B_strat=, mBuy=,-0.092, mSel=,+0.027, b=,0.248, m=,0.000, ca=,0.0404, cr=,0.0630, 
t=,1112915, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.092, mSel=,+0.027, b=,0.248, m=,0.000, ca=,0.0404, cr=,0.0630,  actvprof=,1.710688, best_B_id=,B04, best_B_prof=,1.710688, best_B_strat=, mBuy=,-0.092, mSel=,+0.027, b=,0.248, m=,0.000, ca=,0.0404, cr=,0.0630, 
t=,1148815, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.092, mSel=,+0.027, b=,0.248, m=,0.000, ca=,0.0404, cr=,0.0630,  actvprof=,1.665924, best_B_id=,B04, best_B_prof=,1.665924, best_B_strat=, mBuy=,-0.092, mSel=,+0.027, b=,0.248, m=,0.000, ca=,0.0404, cr=,0.0630, 
t=,1184715, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.092, mSel=,+0.027, b=,0.248, m=,0.000, ca=,0.0404, cr=,0.0630,  actvprof=,1.648669, best_B_id=,B04, best_B_prof=,1.648669, best_B_strat=, mBuy=,-0.092, mSel=,+0.027, b=,0.248, m=,0.000, ca=,0.0404, cr=,0.0630, 
t=,1220616, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.048, mSel=,+0.042, b=,0.268, m=,0.015, ca=,0.0405, cr=,0.0569,  actvprof=,1.666369, best_B_id=,B04, best_B_prof=,1.666369, best_B_strat=, mBuy=,-0.048, mSel=,+0.042, b=,0.268, m=,0.015, ca=,0.0405, cr=,0.0569, 
t=,1256517, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.017, mSel=,+0.067, b=,0.284, m=,0.000, ca=,0.0430, cr=,0.0603,  actvprof=,1.725313, best_B_id=,B04, best_B_prof=,1.725313, best_B_strat=, mBuy=,-0.017, mSel=,+0.067, b=,0.284, m=,0.000, ca=,0.0430, cr=,0.0603, 
t=,1292417, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.017, mSel=,+0.067, b=,0.284, m=,0.000, ca=,0.0430, cr=,0.0603,  actvprof=,1.729510, best_B_id=,B04, best_B_prof=,1.729510, best_B_strat=, mBuy=,-0.017, mSel=,+0.067, b=,0.284, m=,0.000, ca=,0.0430, cr=,0.0603, 
t=,1328317, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.009, mSel=,+0.053, b=,0.347, m=,0.012, ca=,0.0427, cr=,0.0649,  actvprof=,1.711557, best_B_id=,B04, best_B_prof=,1.711557, best_B_strat=, mBuy=,-0.009, mSel=,+0.053, b=,0.347, m=,0.012, ca=,0.0427, cr=,0.0649, 
t=,1364218, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.000, mSel=,+0.030, b=,0.344, m=,0.003, ca=,0.0409, cr=,0.0632,  actvprof=,1.774303, best_B_id=,B04, best_B_prof=,1.774303, best_B_strat=, mBuy=,-0.000, mSel=,+0.030, b=,0.344, m=,0.003, ca=,0.0409, cr=,0.0632, 
